Date,water_L,fecha_inicio_ciclo,avg_weight,total_weight,num_anim_total,t2m_C
2023-01-10,10091.74433957849,2022-08-29,"137,1",295039.0,2152.0,8.506073
2023-01-11,10680.388940725208,2022-08-29,"137,1",215384.0,1571.0,8.223114
2023-01-12,9569.270161512108,2022-08-29,"137,1",163286.0,1191.0,6.679413
2023-01-13,11049.642204215112,2022-08-29,"137,1",111737.0,815.0,7.8646545
2023-01-14,11734.078716255555,2022-08-29,"137,1",111737.0,815.0,7.9563904
2023-01-15,11934.893369430229,2022-08-29,"137,1",59639.0,435.0,7.450226
2023-01-16,10698.567923733284,2022-08-29,"142,7",16696.0,117.0,6.2087097
2023-01-17,11195.679202721469,2022-08-29,"142,7",16696.0,117.0,9.061981
2023-01-18,12520.616788946332,2022-08-29,"142,7",16696.0,117.0,5.5608826
2023-01-19,13923.948164434249,2022-08-29,"142,7",16696.0,117.0,5.5953674
2023-01-20,12560.728299744946,2022-08-29,"142,7",16696.0,117.0,7.479706
2023-01-21,13012.493316631406,2022-08-29,"142,7",16696.0,117.0,2.2396545
2023-01-22,11581.987770585907,2022-08-29,"142,7",16696.0,117.0,2.7651062
2023-01-23,13377.221228857084,2023-01-23,"19,2",39398.0,2052.0,1.8683167
2023-01-24,14504.71112197144,2023-01-23,"19,2",39398.0,2052.0,1.2536926
2023-01-25,12499.473525435533,2023-01-23,"19,2",65914.0,3433.0,2.4216003
2023-01-26,14036.66674239228,2023-01-23,"19,2",79642.0,4148.0,2.870453
2023-01-27,15135.549348744118,2023-01-23,"19,2",79642.0,4148.0,2.738617
2023-01-28,12984.831044737974,2023-01-23,"19,2",79642.0,4148.0,2.9861145
2023-01-29,10965.678904705475,2023-01-23,"19,2",79642.0,4148.0,3.1579285
2023-01-30,17210.263823409463,2023-01-23,24,99552.0,4148.0,2.45224
2023-01-31,14308.616787718893,2023-01-23,24,99552.0,4148.0,3.2310486
2023-02-01,16286.214004315994,2023-01-23,24,99552.0,4148.0,5.337616
2023-02-02,4561.549606587095,2023-01-23,24,99552.0,4148.0,5.348755
2023-02-03,8116.498726244647,2023-01-23,24,99552.0,4148.0,6.3819885
2023-02-04,16891.779728943744,2023-01-23,24,99552.0,4148.0,7.324188
2023-02-05,17266.595862925755,2023-01-23,24,99552.0,4148.0,5.672821
2023-02-06,18186.258827472408,2023-01-23,"29,1",120707.0,4148.0,5.7255554
2023-02-07,16858.727956445848,2023-01-23,"29,1",120707.0,4148.0,6.080841
2023-02-08,18727.02195128035,2023-01-23,"29,1",120707.0,4148.0,7.802948
2023-02-09,17500.75102001556,2023-01-23,"29,1",120707.0,4148.0,6.7272644
2023-02-10,8300.450579697132,2023-01-23,"29,1",120707.0,4148.0,6.2347717
2023-02-11,11853.221098326138,2023-01-23,"29,1",120707.0,4148.0,4.4413147
2023-02-12,18344.00545456711,2023-01-23,"29,1",120707.0,4148.0,4.66922
2023-02-13,19889.670625869603,2023-01-23,"34,6",143521.0,4148.0,5.348419
2023-02-14,18945.10026969876,2023-01-23,"34,6",143521.0,4148.0,5.7380676
2023-02-15,22846.19817004377,2023-01-23,"34,6",143521.0,4148.0,7.5016174
2023-02-16,23298.187331711288,2023-01-23,"34,6",143521.0,4148.0,7.584015
2023-02-17,19935.45495222332,2023-01-23,"34,6",143521.0,4148.0,8.789581
2023-02-18,20403.18329231425,2023-01-23,"34,6",143521.0,4148.0,10.031708
2023-02-19,18960.654233120527,2023-01-23,"34,6",143521.0,4148.0,10.616211
2023-02-20,21059.58984051228,2023-01-23,"40,4",167579.0,4148.0,11.968567
2023-02-21,22255.779879985865,2023-01-23,"40,4",167579.0,4148.0,11.355988
2023-02-22,21692.259792686447,2023-01-23,"40,4",167579.0,4148.0,12.196075
2023-02-23,23892.454669574337,2023-01-23,"40,4",167579.0,4148.0,9.975189
2023-02-24,24887.46856925981,2023-01-23,"40,4",167579.0,4148.0,7.6444397
2023-02-25,22822.673266439742,2023-01-23,"40,4",167579.0,4148.0,7.5003967
2023-02-26,22110.19403250745,2023-01-23,"40,4",167579.0,4148.0,7.4270325
2023-02-27,24131.010562137497,2023-01-23,"46,5",192882.0,4148.0,4.013397
2023-02-28,26165.06147723139,2023-01-23,"46,5",192882.0,4148.0,4.5811462
2023-03-01,23420.3703499178,2023-01-23,"46,5",192882.0,4148.0,3.3727722
2023-03-02,32769.603456845245,2023-01-23,"46,5",192882.0,4148.0,4.134247
2023-03-03,23701.31512025136,2023-01-23,"46,5",192882.0,4148.0,6.962311
2023-03-04,26156.49031900302,2023-01-23,"46,5",192882.0,4148.0,6.6527405
2023-03-05,25404.97843292814,2023-01-23,"46,5",192882.0,4148.0,8.937775
2023-03-06,28444.69774752016,2023-01-23,"52,9",219429.0,4148.0,10.075775
2023-03-07,28405.175039406746,2023-01-23,"52,9",219429.0,4148.0,11.048187
2023-03-08,26086.93823757768,2023-01-23,"52,9",219429.0,4148.0,13.941254
2023-03-09,20954.68545512819,2023-01-23,"52,9",219429.0,4148.0,14.748444
2023-03-10,21537.4074670942,2023-01-23,"52,9",219429.0,4148.0,16.076508
2023-03-11,22008.154186659485,2023-01-23,"52,9",219429.0,4148.0,17.992157
2023-03-12,22445.24307221756,2023-01-23,"52,9",219429.0,4148.0,18.279755
2023-03-13,24274.02371711749,2023-01-23,"59,4",246391.0,4148.0,17.689545
2023-03-14,23298.00128880049,2023-01-23,"59,4",246391.0,4148.0,14.7395935
2023-03-15,24118.985318738163,2023-01-23,"59,4",246391.0,4148.0,13.988312
2023-03-16,25238.47698330082,2023-01-23,"59,4",246391.0,4148.0,12.87973
2023-03-17,26151.284270615604,2023-01-23,"59,4",246391.0,4148.0,13.684723
2023-03-18,22846.42370582464,2023-01-23,"59,4",246391.0,4148.0,14.173492
2023-03-19,24766.553259366698,2023-01-23,"59,4",246391.0,4148.0,13.415375
2023-03-20,25117.934720983023,2023-01-23,"66,1",274183.0,4148.0,14.721039
2023-03-21,25398.11587259302,2023-01-23,"66,1",274183.0,4148.0,14.506744
2023-03-22,29126.09461071775,2023-01-23,"66,1",274183.0,4148.0,15.319489
2023-03-23,27405.68253760473,2023-01-23,"66,1",274183.0,4148.0,16.587921
2023-03-24,32148.210722586413,2023-01-23,"66,1",274183.0,4148.0,17.213654
